"Entity","Code","Year","pa_coverage","co2_per_capita","gdp_growth"
"Tajikistan","TJK","2017",22.2786610881726,66,"7.100001403137"
"Tanzania","TZA","2017",38.1455762725252,19,"6.78568011405198"
"Thailand","THA","2017",18.8091720900762,353,"4.1776810321001"
"Timor","TLS","2017",13.0574664834943,NA,"-3.07109976075395"
"Togo","TGO","2017",27.621242705615,16,"4.34774823822544"
"Tonga","TON","2017",15.9127902459233,NA,"3.32243254438831"
"Trinidad and Tobago","TTO","2017",30.5928101253097,1273,"-2.98734019720676"
"Tunisia","TUN","2017",7.91467724685807,229,"2.24420096790901"
"Turkey","TUR","2017",0.218488653218068,471,"7.50199748917491"
"Turkmenistan","TKM","2017",3.24826224726187,1198,"6.50000004682975"
"Turks and Caicos Islands","TCA","2017",44.3674254967153,NA,"-2.490222604148"
"Tuvalu","TUV","2017",1.95194115592284,NA,"4.09401771680183"
"Uganda","UGA","2017",16.0639496289362,NA,"3.13140551785879"
"Ukraine","UKR","2017",3.98675314313722,382,"2.35997228099491"
"United Arab Emirates","ARE","2017",17.9549206384619,1973,"2.37355105709227"
"United Kingdom","GBR","2017",28.683437277978,545,"2.13445309331686"
"United States","USA","2017",12.9938720224773,1464,"2.33267939548638"
"United States Virgin Islands","VIR","2017",13.7945741945059,NA,"-0.735294117647058"
"Uruguay","URY","2017",3.44620192299909,168,"1.62775397322494"
"Uzbekistan","UZB","2017",3.37521371527249,323,"4.39527463345708"
"Vanuatu","VUT","2017",4.20053186765401,NA,"6.31560419866872"
"Venezuela","VEN","2017",54.1441744357702,42,NA
"Vietnam","VNM","2017",7.57677987501149,197,"6.8122456596398"
"World","OWID_WRL","2017",14.5747297954981,NA,NA
"Yemen","YEM","2017",0.771943980228183,31,"-5.07179563883867"
"Zambia","ZMB","2017",37.8700104508234,35,"3.50433609558682"
"Zimbabwe","ZWE","2017",27.2145851759138,68,"4.70949217898975"
